iso_time,BTC Trend (default),ETH Trend (optimized),SOL Trend (optimized)
2024-04-07 00:00:00+00:00,248259.00529357305,145125.25754283674,323227.7241721885
2024-04-08 00:00:00+00:00,258854.59868577705,161497.94355936287,323227.7241721885
2024-04-09 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-10 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-11 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-12 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-13 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-14 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-15 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-16 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-17 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-18 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-19 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-20 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-21 00:00:00+00:00,248200.71552801365,146913.58383617975,323227.7241721885
2024-04-22 00:00:00+00:00,253972.05865421452,147641.85347507222,337809.41539360693
2024-04-23 00:00:00+00:00,251984.4559571959,148943.63327565382,331138.43817746144
2024-04-24 00:00:00+00:00,249454.2516279868,147245.0232138398,327541.9251878933
2024-04-25 00:00:00+00:00,249454.2516279868,147245.0232138398,327541.9251878933
2024-04-26 00:00:00+00:00,249454.2516279868,147245.0232138398,327541.9251878933
2024-04-27 00:00:00+00:00,249454.2516279868,147245.0232138398,327541.9251878933
2024-04-28 00:00:00+00:00,249454.2516279868,146199.7156934553,327541.9251878933
2024-04-29 00:00:00+00:00,249454.2516279868,141205.65425494875,327541.9251878933
2024-04-30 00:00:00+00:00,249454.2516279868,141205.65425494875,327541.9251878933
2024-05-01 00:00:00+00:00,249454.2516279868,141205.65425494875,327541.9251878933
2024-05-02 00:00:00+00:00,249454.2516279868,141205.65425494875,327541.9251878933
2024-05-03 00:00:00+00:00,249454.2516279868,141205.65425494875,324945.61651905277
2024-05-04 00:00:00+00:00,246614.15127176294,141205.65425494875,332403.92648947256
2024-05-05 00:00:00+00:00,247146.0132991642,141205.65425494875,331266.22922940017
2024-05-06 00:00:00+00:00,242049.53683681652,136358.06050930824,353886.03096621
2024-05-07 00:00:00+00:00,242049.53683681652,136358.06050930824,341068.1969897884
2024-05-08 00:00:00+00:00,242049.53683681652,136358.06050930824,341068.1969897884
2024-05-09 00:00:00+00:00,242049.53683681652,136358.06050930824,341068.1969897884
2024-05-10 00:00:00+00:00,242049.53683681652,136358.06050930824,341068.1969897884
